Make,Model,Trim,Year,Mileage,Price,VIN,url,img
Ford,Mustang,Mach 1,2021,"2,115 miles","58,500",1FA6P8CF2M5153174,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=678905893&allListingType=all-cars&makeCodeList=FORD&modelCodeList=MUST&city=Washington&state=DC&zip=20500&requestId=USED&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=100&referrer=%2Fcars-for-sale%2Fall-cars%2Fford%2Fmustang%2Fwashington-dc%3FrequestId%3DUSED%26dma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D100&clickType=spotlight,https://images.autotrader.com/scaler/328/246/hn/c/79c4bd1cab5d4039adebb8ba582adbbe.jpg
Ford,Mustang,GT Premium,2017,"24,840 miles","35,000",1FA6P8CF3L5170600,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=679782299&allListingType=all-cars&makeCodeList=FORD&modelCodeList=MUST&city=Washington&state=DC&zip=20500&requestId=USED&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=100&referrer=%2Fcars-for-sale%2Fall-cars%2Fford%2Fmustang%2Fwashington-dc%3FrequestId%3DUSED%26dma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D100&clickType=listing,https://images.autotrader.com/scaler/328/246/hn/c/87afc516d8564172a3bc1ec76faa9204.jpg
Ford,Mustang,Coupe,2020,"34,110 miles","27,350",1FA6P8CF8H5323267,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=679431763&allListingType=all-cars&makeCodeList=FORD&modelCodeList=MUST&city=Washington&state=DC&zip=20500&requestId=USED&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=100&referrer=%2Fcars-for-sale%2Fall-cars%2Fford%2Fmustang%2Fwashington-dc%3FrequestId%3DUSED%26dma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D100&clickType=listing,https://images.autotrader.com/scaler/328/246/hn/c/2a6d51c2e24641caababb6a986e260ac.jpg
Ford,Mustang,GT Premium,2020,"6,061 miles","45,000",1FA6P8TH5L5174942,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=675640230&allListingType=all-cars&makeCodeList=FORD&modelCodeList=MUST&city=Washington&state=DC&zip=20500&requestId=USED&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=100&referrer=%2Fcars-for-sale%2Fall-cars%2Fford%2Fmustang%2Fwashington-dc%3FrequestId%3DUSED%26dma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D100&clickType=listing,https://images.autotrader.com/scaler/328/246/hn/c/7ee142920b3f48db94275ce34e987d62.jpg
Ford,Mustang,GT Premium,2017,"56,200 miles","32,600",1FA6P8CF3L5170600,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=679171178&allListingType=all-cars&makeCodeList=FORD&modelCodeList=MUST&city=Washington&state=DC&zip=20500&requestId=USED&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=100&referrer=%2Fcars-for-sale%2Fall-cars%2Fford%2Fmustang%2Fwashington-dc%3FrequestId%3DUSED%26dma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D100&clickType=listing,https://images.autotrader.com/scaler/328/246/hn/c/9385b7f43cbe44dabf9da632da0be411.jpg
Ford,Mustang,Coupe,2020,"24,675 miles","27,500",1FA6P8CF0H5247012,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=678134704&allListingType=all-cars&makeCodeList=FORD&modelCodeList=MUST&city=Washington&state=DC&zip=20500&requestId=USED&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=100&referrer=%2Fcars-for-sale%2Fall-cars%2Fford%2Fmustang%2Fwashington-dc%3FrequestId%3DUSED%26dma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D100&clickType=listing,https://images.autotrader.com/scaler/328/246/hn/c/2da97c11dbf449208383f3904dc726af.jpg
Ford,Mustang,Mach 1,2021,"2,040 miles","60,900",1FA6P8TH6L5149886,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=677894055&allListingType=all-cars&makeCodeList=FORD&modelCodeList=MUST&city=Washington&state=DC&zip=20500&requestId=USED&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=100&referrer=%2Fcars-for-sale%2Fall-cars%2Fford%2Fmustang%2Fwashington-dc%3FrequestId%3DUSED%26dma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D100&clickType=spotlight,https://images.autotrader.com/scaler/328/246/hn/c/367bf6f9a10e4d03aa6ac8107006e50a.jpg
Ford,Mustang,GT,2019,"25,558 miles","35,000",1FATP8UH0H5294964,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=672757014&allListingType=all-cars&makeCodeList=FORD&modelCodeList=MUST&city=Washington&state=DC&zip=20500&requestId=USED&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=100&referrer=%2Fcars-for-sale%2Fall-cars%2Fford%2Fmustang%2Fwashington-dc%3FrequestId%3DUSED%26dma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D100&clickType=listing,https://images.autotrader.com/scaler/328/246/hn/c/ffd10120fa7a42f484e93adc00fd8c56.jpg
Ford,Mustang,Coupe,2021,"15,467 miles","29,491",1FA6P8CF0K5187191,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=673701888&allListingType=all-cars&makeCodeList=FORD&modelCodeList=MUST&city=Washington&state=DC&zip=20500&requestId=USED&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=100&referrer=%2Fcars-for-sale%2Fall-cars%2Fford%2Fmustang%2Fwashington-dc%3FrequestId%3DUSED%26dma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D100&clickType=listing,https://images.autotrader.com/scaler/328/246/hn/c/f17263b5c434401881b029316d4445ba.jpg
Ford,Mustang,GT,2020,"23,983 miles","34,813",1FA6P8TH3M5154674,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=672313842&allListingType=all-cars&makeCodeList=FORD&modelCodeList=MUST&city=Washington&state=DC&zip=20500&requestId=USED&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=100&referrer=%2Fcars-for-sale%2Fall-cars%2Fford%2Fmustang%2Fwashington-dc%3FrequestId%3DUSED%26dma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D100&clickType=listing,https://images.autotrader.com/scaler/328/246/hn/c/3569d9ac009f48bfb93c0321294b200f.jpg
