Make,Model,Trim,Year,Mileage,Price,VIN,url,img
Ford,Mustang,EcoBoost Premium Convertible RWD,2021,"64,627 mi","$28,997",1FATP8UH5M5106823 ,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?entitySelectingHelper.selectedEntity=m2&distance=50&zip=20001&sourceContext=carSelectorAPI#listing=350257791/PRIORITY/DEFAULT,https://static.cargurus.com/images/forsale/2023/03/07/05/10/2021_ford_mustang-pic-6152478773269121186-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp
Ford,F-350,Super Duty Platinum Crew Cab 4WD,2014,"73,607 mi","$45,566",1FT8W3BT7EEB74488 ,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?entitySelectingHelper.selectedEntity=m2&distance=50&zip=20001&sourceContext=carSelectorAPI#listing=353648219/FEATURED/DEFAULT,https://static.cargurus.com/images/forsale/2023/04/10/14/14/2014_ford_f-350_super_duty-pic-752745260891789641-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp
Ford,Escape,SEL AWD,2020,"61,539 mi","$20,987",1FMCU9H61LUB10529 ,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?entitySelectingHelper.selectedEntity=m2&distance=50&zip=20001&sourceContext=carSelectorAPI#listing=352471665/FEATURED/DEFAULT,https://static.cargurus.com/images/forsale/2023/03/31/21/48/2020_ford_escape-pic-4509061631574477678-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp
Ford,Mustang,Mach-E GT AWD,2022,"1,418 mi","$56,715",3FMTK4SX5NMA24609 ,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?entitySelectingHelper.selectedEntity=m2&distance=50&zip=20001&sourceContext=carSelectorAPI#listing=341988514/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2023/01/31/06/11/2022_ford_mustang_mach-e-pic-8351326474905397231-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp
Ford,F-350,Super Duty Limited Crew Cab LB 4WD,2020,"61,151 mi","$66,594",1FT8W3BT2LEC44783 ,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?entitySelectingHelper.selectedEntity=m2&distance=50&zip=20001&sourceContext=carSelectorAPI#listing=316532104/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2021/11/20/21/55/2020_ford_f-350_super_duty-pic-3926567709905801648-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp
Ford,Edge,ST AWD,2019,"32,062 mi","$30,863",2FMPK4AP4KBB85730 ,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?entitySelectingHelper.selectedEntity=m2&distance=50&zip=20001&sourceContext=carSelectorAPI#listing=350688471/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2023/03/17/02/03/2019_ford_edge-pic-7118915580095721749-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp
Ford,F-150,SVT Raptor SuperCrew 4WD,2018,"93,675 mi","$44,000",1FTFW1RG0JFA68344 ,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?entitySelectingHelper.selectedEntity=m2&distance=50&zip=20001&sourceContext=carSelectorAPI#listing=355255120/NONE/DEFAULT,
Ford,F-150,Limited SuperCrew 4WD,2019,"89,781 mi","$40,900",1FTEW1EG0KFA75751 ,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?entitySelectingHelper.selectedEntity=m2&distance=50&zip=20001&sourceContext=carSelectorAPI#listing=352067030/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2023/03/18/02/44/2019_ford_f-150-pic-3457391637428271025-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp
Ford,F-150,Lariat SuperCrew 4WD,2018,"171,510 mi","$22,495",1FTEW1EG2JFC11649 ,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?entitySelectingHelper.selectedEntity=m2&distance=50&zip=20001&sourceContext=carSelectorAPI#listing=352703866/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2023/03/22/18/03/2018_ford_f-150-pic-5061183825654002788-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp
Ford,Edge,SEL AWD,2019,"34,990 mi","$24,000",2FMPK4J94KBC58242 ,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?entitySelectingHelper.selectedEntity=m2&distance=50&zip=20001&sourceContext=carSelectorAPI#listing=354527144/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2023/04/15/05/55/2019_ford_edge-pic-8637600015367514784-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp
