1HGCT1B38EA010697
1HGCR2F8XFA032020
1HGCR2F57HA256130
1HGCR2F52HA042212
1HGCP26369A132663
1HGCP26749A019829
1HGCT2B8XFA009022
1HGCT1B3XEA006490
1HGCP26878A054856
1HGCP2F3XCA033450
1HGCV2F32MA034096
1HGCM56826A049409
1HGCP2F85BA063871
1HGCV1F31MA008244
1HGCM66417A005017
1HGCR2F38DA250734
1HGCG56402A072654
1HGCV1F41LA039694
1HGCV1F37MA087449
1HGCV1F37MA060817
1HGCV1F31MA067987
1HGCV1F14LA127810
1HGCV1F37MA069971
1HGCP264X8A095270
1HGCV1F55NA006743
1HGCR2F83HA011092
1HGCR3F9XGA028792
1HGCV1F69JA201070
1HGCP2F36CA218210
1HGCV1F47JA145435
1HGCV1F39LA085989
1HGCV1F32MA070008
1HGCV2F3XNA010680
1HGCV1F59NA026591
1HGCV2F3XMA019393
1HGCM56354A034145
1HGCR2F7XEA226214
1HGCP2F33BA058138
1HGCR2F9XGA219929
1HGCR2F72DA125926
1HGCR2F6XGA225381
1HGCP26889A141005
1HGCV1F97JA155331
1HGCV1F40MA055113
1HGCV1F30MA078057
1HGCV1F36KA140302
1HGCR3F8XHA036948
1HGCM81646A009548
1HGCV2F53LA024080
1HGCV1F16LA101242
1HGCV1F50LA125717
1HGCV1F33MA073001
1HGCR2F82DA020487
1HGCV1F15MA053251
1HGCV1F44MA050156
1HGCV2F35MA002114
1HGCP26379A155434
1HGCV1F43NA056970
1HGCM56827A007212
1HGCV1F5XMA064443
1HGCP36818A011300
1HGCP2F37CA050500
1HGCP3F89BA028188
1HGCP2F35BA151081
1HGCP2F48AA103694
1HGCR2F81FA030043
1HGCM82627A008415
1HGCR2F57GA184599
1HGCV1F43MA115675
1HGCR2F1XHA120071
1HGCV1F35MA115359
1HGCP3F89BA002416
1HGCR2F52DA203278
1HGCV2F32LA028264
1HGCV1F43LA059185
1HGCR2F50DA269909
1HGCR2F8XEA193255
1HGCR2F71FA184923
1HGCR2F80DA110480
1HGCP2F82CA206535
1HGCV1F18KA092686
1HGCS1B37AA015466
1HGCR2F00HA023937
1HGCV1F55LA112638
1HGCV1F31LA087994
1HGCR2F56DA175954
1HGCV1F11MA035832
1HGCS1B83BA017227
1HGCV1F58LA088450
1HGCV1F30JA250955
1HGCV1F35JA071343
1HGCP2F67CA145438
1HGCV1F99JA085069
1HGCR2F35FA187305
1HGCV1F19KA110600
1HGCV1F16JA028841
1HGCT1B81HA000092
1HGCT2B85DA004324
1HGCV1F51KA119617
1HGCV1F36MA041529
1HGCP2F37BA148845
1HGCP2F74CA170712
1HGCV1F39LA126198
1HGCP2F32CA123336
1HGCR2F33HA307542
1HGCP2F35CA195891
1HGCR2F72FA257913
1HGCV1F36LA115160
1HGCR2F32FA014695
1HGCV1F31KA128817
1HGCT1B37EA015292
1HGCR2F3XHA164881
1HGCR2F32EA185624
1HGCV1F36LA104868
1HGCV1F1XKA071709
1HGCR2F88FA234662
1HGCV1F1XMA059983
1HGCT2B87EA008912
1HGCV1F13JA115287
1HGCV1F33NA021966
1HGCV1F38MA099044
1HGCV1F37LA098224
1HGCV2F91MA009307
1HGCV1F3XLA078145
1HGCR3F87DA039462
1HGCV1F15LA000838
1HGCR2F36FA237662
1HGCP2F63CA158395
1HGCT2B82FA006843
1HGCV1F55MA110437
1HGCV1F31LA062352
1HGCV2F64JA002028
1HGCV1F47MA069607
1HGCR2F32HA034531
1HGCV1F19KA068249
1HGCV1F4XLA118085
1HGCR2F84DA152067
1HGCR3F88DA001321
1HGCR2F31GA039430
1HGCV1F30LA055540
1HGCR2F15HA276700
