Make,Model,Trim,Year,Mileage,Price,VIN,url,img
Land,Rover, HSE ,2019," 46,838 miles ","$55,994 ",SALGS2SV5KA548739,/used_cars/vehicle-detail/ul2178950544/land-rover/range-rover,//cdcssl.ibsrv.net/ibimg/www.carsdirect.com/217/895/054/4/5fa8a9f6.jpg?w=197&h=148&q=85&mode=1
Land,Rover, 5.0 Supercharged ,2017," 99,000 miles ","$36,000 ",SALGS2FE4HA334280,/used_cars/vehicle-detail/ul2188557973/land-rover/range-rover,//cdcssl.ibsrv.net/ibimg/www.carsdirect.com/218/855/797/3/55d82cc6.jpg?w=197&h=148&q=85&mode=1
Land,Rover, 5.0L Supercharged ,2016," 101,052 miles ","$33,995 ",SALGS2EF5GA271215,/used_cars/vehicle-detail/ul2186922645/land-rover/range-rover,//cdcssl.ibsrv.net/ibimg/www.carsdirect.com/218/692/264/5/d9f03280.jpg?w=197&h=148&q=85&mode=1
Land,Rover, 5.0L Supercharged ,2016," 89,453 miles ","$34,895 ",SALGS3EF2GA289435,/used_cars/vehicle-detail/ul2186008726/land-rover/range-rover,//cdcssl.ibsrv.net/ibimg/www.carsdirect.com/218/600/872/6/cc4c24ae.jpg?w=197&h=148&q=85&mode=1
Land,Rover, 3.0L V6 Supercharged HSE 4dr 4x4 ,2017," 95,771 miles ","$34,500 ",SALGS2FV2HA359243,/used_cars/vehicle-detail/ul2188098580/land-rover/range-rover,//cdcssl.ibsrv.net/ibimg/www.carsdirect.com/218/809/858/0/cdd88496.jpg?w=197&h=148&q=85&mode=1
Land,Rover, P525 HSE 4dr 4x4 ,2020," 24,551 miles ","$79,950 ",SALGS2SE4LA586903,/used_cars/vehicle-detail/ul2188783581/land-rover/range-rover,//cdcssl.ibsrv.net/ibimg/www.carsdirect.com/218/878/358/1/5ad356e9.jpg?w=197&h=148&q=85&mode=1
Land,Rover, 5.0L V8 Supercharged ,2019," 41,702 miles ","$69,950 ",SALGS2RE2KA516658,/used_cars/vehicle-detail/ul2183857415/land-rover/range-rover,//cdcssl.ibsrv.net/ibimg/www.carsdirect.com/218/385/741/5/c8fd9a05.jpg?w=197&h=148&q=85&mode=1
Land,Rover, 5.0L Supercharged ,2014," 55,091 miles ","$39,990 ",SALGS2TF8EA196056,/used_cars/vehicle-detail/ul2185349786/land-rover/range-rover,//cdcssl.ibsrv.net/ibimg/www.carsdirect.com/218/534/978/6/040a4043.jpg?w=197&h=148&q=85&mode=1
Land,Rover, 5.0L V8 Supercharged 4dr 4x4 ,2016," 76,507 miles ","$37,878 ",SALGS2EF8GA279146,/used_cars/vehicle-detail/ul2188803649/land-rover/range-rover,//cdcssl.ibsrv.net/ibimg/www.carsdirect.com/218/880/364/9/8c2d42f4.jpg?w=197&h=148&q=85&mode=1
Land,Rover, P525 HSE ,2020," 44,467 miles ","$76,847 ",SALGS2SE0LA572433,/used_cars/vehicle-detail/ul2178914849/land-rover/range-rover,//cdcssl.ibsrv.net/ibimg/www.carsdirect.com/217/891/484/9/df8e41d9.jpg?w=197&h=148&q=85&mode=1
Land,Rover, 3.0L V6 Supercharged HSE ,2019," 45,619 miles ","$61,059 ",SALGS2SV6KA532713,/used_cars/vehicle-detail/ul2170352299/land-rover/range-rover,//cdcssl.ibsrv.net/ibimg/www.carsdirect.com/217/035/229/9/876d5137.jpg?w=197&h=148&q=85&mode=1
Land,Rover, HSE ,2019," 25,224 miles ","$69,995 ",SALGS2SV5KA547204,/used_cars/vehicle-detail/ul2181046856/land-rover/range-rover,//cdcssl.ibsrv.net/ibimg/www.carsdirect.com/218/104/685/6/3750f7c6.jpg?w=197&h=148&q=85&mode=1
Land,Rover, P525 HSE Westminster LWB ,2021," 24,824 miles ","$97,999 ",SALGS5SE0MA437004,/used_cars/vehicle-detail/ul2180849394/land-rover/range-rover,//cdcssl.ibsrv.net/ibimg/www.carsdirect.com/218/084/939/4/f737b927.jpg?w=197&h=148&q=85&mode=1
Land,Rover, P525 HSE ,2020," 35,376 miles ","$79,999 ",SALGS2SE7LA404708,/used_cars/vehicle-detail/ul2184509321/land-rover/range-rover,//cdcssl.ibsrv.net/ibimg/www.carsdirect.com/218/450/932/1/f41b1816.jpg?w=197&h=148&q=85&mode=1
Land,Rover, 5.0L Supercharged SV Autobiography ,2017," 38,125 miles ","$88,495 ",SALGW3FE9HA343633,/used_cars/vehicle-detail/ul2183853954/land-rover/range-rover,//cdcssl.ibsrv.net/ibimg/www.carsdirect.com/218/385/395/4/023e54c0.jpg?w=197&h=148&q=85&mode=1
Land,Rover, P525 HSE ,2020," 36,781 miles ","$75,981 ",SALGS2SE1LA572666,/used_cars/vehicle-detail/ul2188537388/land-rover/range-rover,//cdcssl.ibsrv.net/ibimg/www.carsdirect.com/218/853/738/8/5cd05249.jpg?w=197&h=148&q=85&mode=1
Land,Rover, 5.0L V8 Supercharged 4dr 4x4 ,2015," 87,148 miles ","$31,981 ",SALGS2TF2FA234365,/used_cars/vehicle-detail/ul2188288888/land-rover/range-rover,//cdcssl.ibsrv.net/ibimg/www.carsdirect.com/218/828/888/8/db9a3336.jpg?w=197&h=148&q=85&mode=1
Land,Rover, P525 HSE ,2020," 27,879 miles ","$78,500 ",SALGS2SE7LA593537,/used_cars/vehicle-detail/ul2184780027/land-rover/range-rover,//cdcssl.ibsrv.net/ibimg/www.carsdirect.com/218/478/002/7/4d315c3c.jpg?w=197&h=148&q=85&mode=1
Land,Rover, HSE ,2019," 21,109 miles ","$67,500 ",SALGS2SV7KA549231,/used_cars/vehicle-detail/ul2186136990/land-rover/range-rover,//cdcssl.ibsrv.net/ibimg/www.carsdirect.com/218/613/699/0/8b634b4d.jpg?w=197&h=148&q=85&mode=1
